verse_id	version	description_plain
19035001	KJV	A Psalm of David.
19037001	KJV	A Psalm of David.
19072001	KJV	A Psalm for Solomon.
19032001	KJV	A Psalm of David, Maschil.
19092001	KJV	A Psalm or Song for the sabbath day.
19098001	KJV	A Psalm.
19100001	KJV	A Psalm of praise.
19101001	KJV	A Psalm of David.
19102001	KJV	A Prayer of the afflicted, when he is overwhelmed, and poureth out his complaint before the LORD.
19108001	KJV	A Song or Psalm of David.
19109001	KJV	To the chief Musician, A Psalm of David.
19110001	KJV	A Psalm of David.
19120001	KJV	A Song of degrees.
19121001	KJV	A Song of degrees.
19122001	KJV	A Song of degrees of David.
19123001	KJV	A Song of degrees.
19124001	KJV	A Song of degrees of David.
19125001	KJV	A Song of degrees.
19126001	KJV	A Song of degrees.
19127001	KJV	A Song of degrees for Solomon.
19128001	KJV	A Song of degrees.
19129001	KJV	A Song of degrees.
19130001	KJV	A Song of degrees.
19131001	KJV	A Song of degrees of David.
19132001	KJV	A Song of degrees.
19133001	KJV	A Song of degrees of David.
19134001	KJV	A Song of degrees.
19139001	KJV	To the chief Musician, A Psalm of David.
19140001	KJV	To the chief Musician, A Psalm of David.
19141001	KJV	A Psalm of David.
19142001	KJV	Maschil of David; A Prayer when he was in the cave.
19143001	KJV	A Psalm of David.
19145001	KJV	David's Psalm of praise.
19027001	KJV	A Psalm of David.
19026001	KJV	A Psalm of David.
19025001	KJV	A Psalm of David.
19103001	KJV	A Psalm of David.
19144001	KJV	A Psalm of David.
19034001	KJV	A Psalm of David, when he changed his behaviour before Abimelech; who drove him away, and he departed.
19138001	KJV	A Psalm of David.
